Descriptor,Feature importance
D_5,0.0
D_39,0.0012239902080783353
D_40,0.0018359853121175031
D_41,0.0
D_42,0.0012239902080783353
D_43,0.0006119951040391676
D_44,0.0030599755201958386
D_45,0.0030599755201958386
D_46,0.0012239902080783353
D_47,0.0012239902080783353
D_48,0.0012239902080783353
D_49,0.0
D_50,0.0012239902080783353
D_58,0.3659730722154223
D_59,0.02876376988984088
D_60,0.0605875152998776
D_61,0.14259485924112608
D_62,0.1536107711138311
D_63,0.3818849449204406
D_64,0.1988984088127295
D_65,0.07527539779681762
D_66,0.25642594859241125
D_67,0.10342717258261934
D_68,0.10893512851897184
D_69,0.13280293757649939
D_70,0.07037943696450429
D_71,0.04100367197062423
D_72,0.08812729498164015
D_73,0.025091799265605876
D_74,0.02631578947368421
D_75,0.006119951040391677
D_76,0.022031823745410038
D_77,0.0012239902080783353
D_78,0.0012239902080783353
D_109,0.0006119951040391676
D_112,0.0012239902080783353
D_113,0.0006119951040391676
D_116,0.0030599755201958386
D_121,0.0006119951040391676
D_123,0.0012239902080783353
D_124,0.0024479804161566705
D_189,0.004895960832313341
D_190,0.008567931456548347
D_191,0.0024479804161566705
D_192,0.006731946144430845
D_193,0.01040391676866585
D_194,0.0030599755201958386
D_195,0.0018359853121175031
D_196,0.0024479804161566705
D_197,0.004895960832313341
D_198,0.0030599755201958386
D_199,0.0006119951040391676
D_200,0.0006119951040391676
D_202,0.0006119951040391676
D_206,0.0006119951040391676
D_208,0.4394124847001224
D_209,0.5532435740514076
D_210,1.4736842105263157
D_211,0.6787025703794369
D_212,1.186046511627907
D_213,1.156670746634027
D_214,1.0734394124847002
D_215,1.2111383108935128
D_216,1.1621787025703794
D_217,0.6995104039167687
D_218,0.6303549571603427
D_219,0.4204406364749082
D_220,0.6223990208078335
D_221,0.22888616891064872
D_222,0.07711138310893513
D_223,0.04222766217870257
D_224,0.033659730722154224
D_225,0.03916768665850673
D_226,0.023255813953488372
D_227,0.008567931456548347
D_228,0.0073439412484700125
D_253,0.0018359853121175031
D_254,0.0012239902080783353
D_255,0.0018359853121175031
D_256,0.0024479804161566705
D_257,0.0055079559363525096
D_258,0.004283965728274173
D_259,0.0036719706242350062
D_260,0.0030599755201958386
D_261,0.0006119951040391676
D_262,0.0018359853121175031
D_263,0.0030599755201958386
D_264,0.0024479804161566705
D_265,0.0012239902080783353
D_266,0.0018359853121175031
D_267,0.0018359853121175031
D_268,0.0012239902080783353
D_294,1.7093023255813953
D_295,2.2209302325581395
D_296,1.6358629130966953
